#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	ntp
#open	2026-04-25-03-15-21
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	version	mode	stratum	poll	precision	root_delay	root_disp	ref_id	ref_time	org_time	rec_time	xmt_time	num_exts
#types	time	string	addr	port	addr	port	count	count	count	interval	interval	interval	interval	string	time	time	time	time	count
1777058121.835896	Cw4itu3FUZKxMMKJuh	172.30.123.103	40953	185.125.190.56	123	4	3	0	1.000000	1.000000	0.000000	0.000000	\x00\x00\x00\x00	0.000000	0.000000	0.000000	46973403.816453	0
1777058122.063359	Cw4itu3FUZKxMMKJuh	172.30.123.103	40953	185.125.190.56	123	4	4	2	1.000000	0.000000	0.005661	0.000717	146.131.121.246	1777057682.177121	46973403.816453	1777058122.944033	1777058122.944174	0
1777058155.079965	CN9wlc1CByQHYBGS18	172.30.123.103	51338	185.125.190.56	123	4	3	0	1.000000	1.000000	0.000000	0.000000	\x00\x00\x00\x00	0.000000	0.000000	0.000000	1738348782.261681	0
1777058155.308148	CN9wlc1CByQHYBGS18	172.30.123.103	51338	185.125.190.56	123	4	4	2	1.000000	0.000000	0.005661	0.000748	146.131.121.246	1777057682.177121	1738348782.261681	1777058156.163517	1777058156.163568	0
1777058188.299974	CzRJMk34wTcLYpZrt8	172.30.123.103	56281	185.125.190.56	123	4	3	0	1.000000	1.000000	0.000000	0.000000	\x00\x00\x00\x00	0.000000	0.000000	0.000000	1957370228.897374	0
1777058188.529667	CzRJMk34wTcLYpZrt8	172.30.123.103	56281	185.125.190.56	123	4	4	2	1.000000	0.000000	0.005661	0.000778	146.131.121.246	1777057682.177121	1957370228.897374	1777058189.419381	1777058189.419401	0
#close	2026-04-25-03-16-52
403.816453	1777058122.944033	1777058122.944174	0
1777058155.308148	CLRWQga4pZjKfTTjl	172.30.123.103	51338	185.125.190.56	123	4	4	2	1.000000	0.000000	0.005661	0.000748	146.131.121.246	1777057682.177121	1738348782.261681	1777058156.163517	1777058156.163568	0
1777058188.529667	C9gkgD41YdgASKawNh	172.30.123.103	56281	185.125.190.56	123	4	4	2	1.000000	0.000000	0.005661	0.000778	146.131.121.246	1777057682.177121	1957370228.897374	1777058189.419381	1777058189.419401	0
1777058221.785401	CpFCEI2N9r68rdmow	172.30.123.103	42792	185.125.190.56	123	4	4	2	1.000000	0.000000	0.005661	0.000824	146.131.121.246	1777057682.177121	-628727961.983554	1777058222.658350	1777058222.658398	0
1777058255.026705	C45GWd11mxMPMawZAg	172.30.123.103	51652	185.125.190.56	123	4	4	2	1.000000	0.000000	0.005661	0.000854	146.131.121.246	1777057682.177121	393580068.315970	1777058255.923234	1777058255.923252	0
1777058288.300234	C2IWXi2y1EhPMBf8re	172.30.123.103	58626	185.125.190.56	123	4	4	2	1.000000	0.000000	0.005661	0.000885	146.131.121.246	1777057682.177121	-1337722347.445350	1777058289.217484	1777058289.217496	0
1777058321.586959	CMC6ru4eW2teuewkig	172.30.123.103	53789	185.125.190.56	123	4	4	2	1.000000	0.000000	0.005661	0.000916	146.131.121.246	1777057682.177121	-516879987.011861	1777058322.492365	1777058322.492402	0
1777058354.857932	C1y8Br4mIxrNeTaNMl	172.30.123.103	43991	185.125.190.56	123	4	4	2	1.000000	0.000000	0.005661	0.000961	146.131.121.246	1777057682.177121	-1604474613.524192	1777058355.809253	1777058355.809274	0
1777058388.180270	CuvWse37WrJAAsA5s4	172.30.123.103	47702	185.125.190.56	123	4	4	2	1.000000	0.000000	0.005661	0.000992	146.131.121.246	1777057682.177121	-766160651.885342	1777058389.152008	1777058389.152025	0
1777058421.516334	CAYFjy306mHAZ4ksxf	172.30.123.103	48199	185.125.190.56	123	4	4	2	1.000000	0.000000	0.005661	0.001022	146.131.121.246	1777057682.177121	102691861.169046	1777058422.407921	1777058422.407959	0
1777058454.769236	CfWN2A3Yxymkc9xnk1	172.30.123.103	56467	185.125.190.56	123	4	4	2	1.000000	0.000000	0.005661	0.001068	146.131.121.246	1777057682.177121	1625934125.532646	1777058455.471831	1777058455.471862	0
1777058487.840726	CgNwElROb1YHkFJAj	172.30.123.103	43989	185.125.190.56	123	4	4	2	1.000000	0.000000	0.005661	0.001099	146.131.121.246	1777057682.177121	-1666387436.729419	1777058488.740636	1777058488.740659	0
1777058521.107056	CNdMTs4bEucZQCumug	172.30.123.103	53223	185.125.190.56	123	4	4	2	1.000000	0.000000	0.005661	0.001129	146.131.121.246	1777057682.177121	158408055.074435	1777058522.029277	1777058522.029302	0
1777058554.397208	CausQKIUn8NHFbWZ9	172.30.123.103	36245	185.125.190.56	123	4	4	2	1.000000	0.000000	0.005661	0.001160	146.131.121.246	1777057682.177121	296258976.939949	1777058555.299687	1777058555.299695	0
1777058587.671789	CKLP4U2VaOZ0ZhM4M8	172.30.123.103	33921	185.125.190.56	123	4	4	2	1.000000	0.000000	0.005661	0.001205	146.131.121.246	1777057682.177121	1345160771.205056	1777058588.558465	1777058588.558480	0
1777058620.921438	CSa97x42aAtyzeHlJ8	172.30.123.103	56366	185.125.190.56	123	4	4	2	1.000000	0.000000	0.005661	0.001236	146.131.121.246	1777057682.177121	-1874232837.055317	1777058621.803919	1777058621.803939	0
1777058654.175539	C4hl7d3s9kGahHCGij	172.30.123.103	36729	185.125.190.56	123	4	4	2	1.000000	0.000000	0.005661	0.001266	146.131.121.246	1777057682.177121	1940260390.151816	1777058655.039910	1777058655.039943	0
1777058687.402871	CubpK60gESwSuNbrh	172.30.123.103	52404	185.125.190.56	123	4	4	2	1.000000	0.000000	0.005661	0.001297	146.131.121.246	1777057682.177121	-447222049.004975	1777058688.275735	1777058688.275765	0
